task_id,data_version,split_version,approach,model_family,model,params_json,split,seed,n_samples,cv_folds,class_order,accuracy,macro_f1,balanced_accuracy,roc_auc,mae,rmse,recall_poor,recall_average,recall_good,recall_excellent,runtime_sec,output_path,selected_within_family,selected_within_approach,is_primary
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,direct_classification,Dummy Classifier,Dummy Most Frequent,{},cv_train_mean,20260726,8000,5,Poor|Average|Good|Excellent,0.44575,0.15415873079931142,0.25,,0.6834999999999999,0.9705667720189529,,,,,0.09053919999860227,,True,False,False
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,direct_classification,Logistic Regression,Logistic Regression,"{""C"":0.1}",cv_train_mean,20260726,8000,5,Poor|Average|Good|Excellent,0.81225,0.8065902085470704,0.7963929854490193,,0.188,0.43409928476598586,,,,,1.2339658999990206,,False,False,False
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,direct_classification,Logistic Regression,Logistic Regression,"{""C"":1.0}",cv_train_mean,20260726,8000,5,Poor|Average|Good|Excellent,0.813875,0.8092584213905025,0.8031502769520952,,0.186375,0.432177441965076,,,,,2.110029899995425,,True,True,False
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,direct_classification,Logistic Regression,Logistic Regression,"{""C"":10.0}",cv_train_mean,20260726,8000,5,Poor|Average|Good|Excellent,0.81325,0.8087798069300298,0.8032469689356763,,0.187,0.4329346346309445,,,,,1.5300755000062054,,False,False,False
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,direct_classification,LightGBM Classifier,LightGBM Classifier,"{""learning_rate"":0.05,""n_estimators"":200,""num_leaves"":15}",cv_train_mean,20260726,8000,5,Poor|Average|Good|Excellent,0.7775,0.769213329696248,0.7507529593166093,,0.223,0.47316528924109,,,,,8.893602600001032,,False,False,False
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,direct_classification,LightGBM Classifier,LightGBM Classifier,"{""learning_rate"":0.05,""n_estimators"":200,""num_leaves"":31}",cv_train_mean,20260726,8000,5,Poor|Average|Good|Excellent,0.770875,0.7626700412787283,0.7434166692993316,,0.22975000000000004,0.4805613859674536,,,,,13.884581999998773,,False,False,False
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,direct_classification,LightGBM Classifier,LightGBM Classifier,"{""learning_rate"":0.05,""n_estimators"":400,""num_leaves"":15}",cv_train_mean,20260726,8000,5,Poor|Average|Good|Excellent,0.7849999999999999,0.7775580833849884,0.7606543377256875,,0.21550000000000002,0.4651525258178738,,,,,16.88314750000427,,True,False,False
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,direct_classification,LightGBM Classifier,LightGBM Classifier,"{""learning_rate"":0.05,""n_estimators"":400,""num_leaves"":31}",cv_train_mean,20260726,8000,5,Poor|Average|Good|Excellent,0.776875,0.768230195083403,0.7506133682584315,,0.22362500000000002,0.4737596395475864,,,,,26.387781900004484,,False,False,False
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,regression_then_binning,Dummy Regressor,Dummy Mean Regressor,{},cv_train_mean,20260726,8000,5,Poor|Average|Good|Excellent,0.44575,0.15415873079931142,0.25,,0.6834999999999999,0.9705667720189529,,,,,0.07591710000997409,,True,False,False
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,regression_then_binning,Ridge,Ridge Regression,"{""alpha"":0.1}",cv_train_mean,20260726,8000,5,Poor|Average|Good|Excellent,0.8223750000000001,0.8192958298095366,0.810128841864994,,0.178,0.42253057137729455,,,,,0.13689399999566376,,True,True,False
