Feature,Importance,Raw_Importance,Signed_Mean_Accuracy_Decrease,Std_Accuracy_Decrease,Method
Sleep_Quality_Score,0.1697253208588219,0.14150000000000004,0.14150000000000004,0.004701063709417267,permutation_accuracy_original_feature
Exercise_Frequency_Per_Week,0.15881012354563967,0.13240000000000002,0.13240000000000002,0.004397726685459214,permutation_accuracy_original_feature
BMI,0.1457358762144654,0.12150000000000001,0.12150000000000001,0.006292853089020913,permutation_accuracy_original_feature
Stress_Level,0.09103994242533275,0.07590000000000005,0.07590000000000005,0.005642694391866365,permutation_accuracy_original_feature
Fast_Food_Meals_Per_Week,0.08096437567470303,0.06750000000000003,0.06750000000000003,0.008443932733033845,permutation_accuracy_original_feature
Daily_Steps,0.07604653952260997,0.06340000000000004,0.06340000000000004,0.007920858539325143,permutation_accuracy_original_feature
Obesity_Risk,0.05397625044980199,0.045,0.045,0.004732863826479676,permutation_accuracy_original_feature
Smoking_Status,0.03946263643996639,0.03290000000000004,0.03290000000000004,0.003367491648096539,permutation_accuracy_original_feature
Vegetable_Intake_Per_Day,0.023869497421134693,0.01990000000000003,0.01990000000000003,0.004779121258139407,permutation_accuracy_original_feature
Mood_Score,0.018831714045819837,0.015700000000000026,0.015700000000000026,0.00394461658466321,permutation_accuracy_original_feature
Morning_Workout,0.01631282235816242,0.013600000000000034,0.013600000000000034,0.0023108440016582792,permutation_accuracy_original_feature
Weight_kg,0.015593139018831728,0.013000000000000034,0.013000000000000034,0.005890670590009279,permutation_accuracy_original_feature
Age,0.014993402902722802,0.012500000000000022,0.012500000000000022,0.0039749213828703675,permutation_accuracy_original_feature
Alcohol_Consumption,0.013793930670505005,0.011500000000000043,0.011500000000000043,0.003301514803843838,permutation_accuracy_original_feature
Meditation_Practice,0.01271440566150898,0.010600000000000054,0.010600000000000054,0.004737087712930817,permutation_accuracy_original_feature
Height_cm,0.009955619527407946,0.00830000000000002,0.00830000000000002,0.0018867962264113413,permutation_accuracy_original_feature
Fruit_Intake_Per_Day,0.008516252848746584,0.0071000000000000394,0.0071000000000000394,0.002853068523537417,permutation_accuracy_original_feature
Water_Intake_Liters,0.006597097277198067,0.005500000000000038,0.005500000000000038,0.002774887385102308,permutation_accuracy_original_feature
Anxiety_Score,0.005517572268202013,0.004600000000000026,0.004600000000000026,0.0019849433241279383,permutation_accuracy_original_feature
Life_Satisfaction_Score,0.0029986805805445977,0.0025000000000000356,0.0025000000000000356,0.0012247448713916173,permutation_accuracy_original_feature
Daily_Calorie_Intake,0.002638838910879237,0.002200000000000024,0.002200000000000024,0.0015033296378372744,permutation_accuracy_original_feature
Screen_Time_Before_Bed_Hours,0.002638838910879237,0.002200000000000024,0.002200000000000024,0.0002449489742783452,permutation_accuracy_original_feature
Social_Interaction_Score,0.0025188916876574684,0.002100000000000035,0.002100000000000035,0.0011575836902790447,permutation_accuracy_original_feature
Number_of_Night_Awakenings,0.002278997241213904,0.001900000000000035,0.001900000000000035,0.0012409673645990761,permutation_accuracy_original_feature
