Model,CV_Rank,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Macro_F1_Mean,CV_Macro_F1_Std,CV_Balanced_Accuracy_Mean,CV_Balanced_Accuracy_Std,CV_Recall_Poor_Mean,CV_Recall_Poor_Std,CV_Recall_Average_Mean,CV_Recall_Average_Std,CV_Recall_Good_Mean,CV_Recall_Good_Std,CV_Recall_Excellent_Mean,CV_Recall_Excellent_Std,CV_Fit_Time_Seconds,Val_Accuracy,Val_Macro_F1,Val_Balanced_Accuracy,Val_Recall_Poor,Val_Recall_Average,Val_Recall_Good,Val_Recall_Excellent,Selected
Logistic Regression (Tuned C=1),1,0.8481250000000001,0.007288689868556617,0.782952469661489,0.016264809667428652,0.7676479039350506,0.014908762420131503,0.527485380116959,0.05555863334041463,0.8192982456140351,0.012460395176995617,0.8540807056967321,0.009264942955203474,0.8697272843124761,0.01809021205687696,2.325019359588623,0.8485,0.7832091403135955,0.7652458614990372,0.5217391304347826,0.8079625292740047,0.8577878103837472,0.8734939759036144,True
Logistic Regression (Unweighted),2,0.8481250000000001,0.007288689868556617,0.782952469661489,0.016264809667428652,0.7676479039350506,0.014908762420131503,0.527485380116959,0.05555863334041463,0.8192982456140351,0.012460395176995617,0.8540807056967321,0.009264942955203474,0.8697272843124761,0.01809021205687696,2.649904727935791,0.8485,0.7832091403135955,0.7652458614990372,0.5217391304347826,0.8079625292740047,0.8577878103837472,0.8734939759036144,False
Logistic Regression (Tuned C=0.3),3,0.8481249999999999,0.006174544517614209,0.7730090828122398,0.010200696279889628,0.7466467115850474,0.002384412884840744,0.439766081871345,0.00935672514619883,0.823391812865497,0.013664703445085268,0.8563382021307963,0.01124550698617696,0.8670907494725515,0.018569148022543953,1.8750760555267334,0.8455,0.7525912159722974,0.7214122406132737,0.34782608695652173,0.810304449648712,0.8555304740406321,0.8719879518072289,False
Logistic Regression (Tuned C=3),4,0.8471249999999999,0.007752015866856808,0.7868539769941563,0.02034262283539641,0.7773408114486691,0.020095793490043475,0.5707602339181287,0.07657023299804869,0.8169590643274853,0.01207003943891829,0.8515407233869619,0.010729389455535724,0.8701032241621002,0.019943790441580657,3.587562322616577,0.848,0.7761675679459996,0.7646603814053605,0.5217391304347826,0.8056206088992974,0.8577878103837472,0.8734939759036144,False
Logistic Regression (Tuned C=10),5,0.84575,0.007719698828322268,0.7859549258872631,0.02879864656325546,0.7865721681407827,0.024017499603999584,0.6146198830409356,0.08858056715210054,0.8122807017543859,0.0137644471297542,0.85041197516993,0.01204266567750966,0.8689761125978789,0.018396241126361013,2.24765944480896,0.8475,0.7773999172636763,0.774453325416605,0.5652173913043478,0.8009367681498829,0.8566591422121896,0.875,False
Logistic Regression (Tuned C=0.1),6,0.84425,0.008360995754095329,0.7446986422280553,0.020188497446479638,0.7134885600165379,0.017373227974718353,0.31812865497076026,0.06098156335077759,0.8157894736842104,0.013961796943056522,0.8585964954220554,0.012920318567772537,0.8614396159891253,0.020686736332307935,1.4882197380065918,0.847,0.7356649141856879,0.7006659972537772,0.2608695652173913,0.8056206088992974,0.8611738148984198,0.875,False
Logistic Regression (Balanced),7,0.8355,0.00709753478328917,0.7799941990308206,0.026028779129164712,0.8171368009283168,0.025627857907310345,0.7350877192982457,0.09090887328165065,0.8555555555555555,0.01463157427274479,0.7863402739595038,0.010295791101223861,0.8915636548999618,0.016459533402230133,2.518090009689331,0.8385,0.7767065211980491,0.7978955295319134,0.6521739130434783,0.8430913348946136,0.791196388261851,0.9051204819277109,False
LightGBM (Balanced),8,0.8140000000000001,0.013041999463272483,0.7103965555752839,0.019892107302812267,0.6763415370480579,0.01623148397379465,0.26315789473684215,0.05044177462654462,0.7783625730994153,0.01218284599766062,0.8317810555170408,0.022343217228811035,0.8320646248389336,0.0217327184568446,17.466682195663452,0.8245,0.6976102625327057,0.6748064919948722,0.21739130434782608,0.7915690866510539,0.827313769751693,0.8629518072289156,False
LightGBM (Unweighted),9,0.8083750000000001,0.012993988994916073,0.654073733137043,0.028077312906181342,0.6307964623115405,0.01821947324909313,0.10935672514619883,0.05933871763258863,0.7497076023391813,0.013912721933766433,0.8512574406540605,0.019766759404092966,0.8128640811067216,0.01972611751601326,15.979809999465942,0.816,0.6701319135227705,0.644838039489638,0.13043478260869565,0.765807962529274,0.8306997742663657,0.8524096385542169,False
Random Forest (Balanced),10,0.775,0.011983060961206842,0.6309452218982246,0.02011955861424193,0.6169925857530681,0.012734502835091352,0.10877192982456141,0.056619543590454416,0.7883040935672515,0.02022411282548603,0.7550142239009348,0.018407002819840458,0.8158800957195249,0.013803923282370898,2.731426954269409,0.7865,0.6639929234396862,0.6428758790966087,0.17391304347826086,0.8032786885245902,0.7539503386004515,0.8403614457831325,False
Dummy Most Frequent,11,0.442875,0.0003061862178478907,0.1534696196707481,7.354207348632161e-05,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.24965739250183105,0.443,0.1534996534996535,0.25,0.0,0.0,1.0,0.0,False
